Agency Responsible for Deaths,Deaths
"Laurie Police Department, Morgan County Sheriff's Office, Camden County Sheriff's Office",1
Bowling Green Police Department,1
Caruthersville Police Department,1
"Missouri State Highway Patrol, Saline County Sheriff's Office",1
"St. Louis County Police Department, Webster Groves Police Department",1
"Ray County Sheriff's Office, Richmond Police Department, Missouri State Highway Patrol",1
"Osage County Sheriff's Office, Missouri State Highway Patrol",1
Dade County Sheriff's Office,1
"Jackson County Sheriff's Office, Blue Springs Police Department, Lee's Summit Police Department, Central Jackson County Protection District",1
Phelps County Sheriff's Office,1
"Pettis County Sheriff's Office, Missouri State Highway Patrol",1
New Madrid Police Department,1
Lee's Summit Police Department,1
U.S. Drug Enforcement Administration,1
Daviess County Sheriff's Office,1
Warsaw Police Department,1
"Miller County Sheriff's Office, Missouri State Highway Patrol",1
Webster Groves Police Department,1
"Liberty Police Department, North Kansas City Police Department, Independence Police Department, Missouri State Highway Patrol, Clay County Sheriff's Office, Riverside Police Department",1
Park Hills Police Department,1
"Missouri State Highway Patrol, Lafayette County Sheriff's Office, Pettis County Sheriff's Office, Sedalia Police Department",1
Birch Tree Police Department,1
Winfield Police Department,1
Rolla Police Department,1
Charleston Police Department,1
Rockhurst University Safety and Security Department,1
Calverton Park Police Department,1
"Missouri State Highway Patrol, New Madrid County Sheriff's Office, New Madrid Police Department, Marston Police Department, Cape Girardeau County Sheriff's Office, Sikeston Department of Public Safety",1
Livingston County Sheriff's Office,1
Cassville Police Department,1
"Cass County Sheriff's Office, Harrisonville Police Department",1
Monett Police Department,1
Cameron Police Department,1
Platte County Sheriff's Office,1
"Missouri State Highway Patrol, Johnson County Sheriff's Office",1
"Wright County Sheriff's Office, Missouri State Highway Patrol, Mountain Grove Police Department",1
Grandview Police Department,1
Arnold Police Department,1
Cass County Sheriff's Office,1
Clinton Police Department,1
